net,length_um
_02060_,1661.96
_02094_,1565.61
_02058_,1519.69
_02090_,1516.49
_02064_,1496.78
_02070_,1496.16
_02068_,1495.64
_02076_,1426.82
_02092_,1412.37
_02082_,1409.27
_02098_,1409.13
_02080_,1388.02
_02062_,1385.31
_02112_,1382.52
_02066_,1382.42
_02088_,1382.03
_02100_,1380.36
_02086_,1375.97
_02072_,1374.315
_02084_,1363.95
_02106_,1352.68
_02054_,1348.56
_02056_,1346.36
_02048_,1338.77
_02110_,1320.52
_02096_,1318.34
_02108_,1312.64
_02114_,1311.13
_02078_,1305.645
_02102_,1295.36
_02074_,1282.24
_02104_,1282.11
_03263_,1250.745
_03268_,1207.17
_03600_,1163.37
_03213_,1159.91
_03605_,1125.49
_03212_,1121.2
_03626_,1090.99
_03248_,1064.52
_03190_,1031.66
_03199_,1023.72
_03221_,1018.64
_03696_,1011.125
_03613_,997.08
_03591_,969.64
_03208_,967.75
_03631_,904.96
_03585_,894.23
_03691_,883.5
_03207_,882.14
_03244_,875.63
_03590_,855.33
_03267_,828.59
_03662_,824.3
_03193_,804.58
_03695_,804.45
_03599_,803.85
_03188_,792.96
_03262_,786.605
_03630_,778.985
_03582_,777.27
_03604_,772.37
_03203_,765.64
_03198_,754.76
_03639_,752.66
_03196_,735.29
_03254_,728.97
_03251_,726.435
_03646_,715.21
_03243_,707.23
_03598_,697.93
_03205_,671.54
_03580_,661.115
_03595_,656.46
net4,638.29
_03197_,613.5
_03192_,612.24
_03583_,600.47
_03247_,578.93
_03211_,570.86
_03584_,564.13
_03589_,563.69
_03191_,535.04
_03206_,524.72
_03261_,508.32
_03578_,490.07
_03265_,465.26
_02331_,451.92
_03273_,448.49
_03603_,442.73
_03231_,437.57
_02434_,423.61
_03625_,420.33
_03258_,417.97
_03682_,416.86
_03271_,412.565
_03597_,407.395
_03693_,405.17
_02154_,404.85
_03216_,401.455
clknet_1_1__leaf__04446_,400.11
_02432_,399.35
_02605_,394.58
_03122_,394.15
_02050_,393.93
_03242_,392.54
_02119_,386.97
_03054_,386.55
_02501_,384.52
_02538_,377.92
_02297_,375.41
_03623_,366.635
_03608_,365.455
_02399_,361.24
_02780_,360.3
_03187_,358
_03699_,354.515
_03241_,352.06
_03588_,351.29
_02814_,351.21
_03019_,346.875
net46,338.53
_02951_,338.095
_02468_,336.88
_03579_,334.73
_03217_,332.27
_03629_,332.265
_02052_,331.74
_02503_,329.74
_04241_,322.26
_02226_,321.41
net73,315.14
net47,312.34
_02916_,309.545
_02190_,306.205
net48,305.96
_02365_,305.08
clknet_1_0__leaf__04490_,305.04
net9,303.22
net105,300.77
_02153_,298.49
_02572_,298.41
_02882_,297.65
_02677_,297.53
net5,296.55
net102,294.01
_02985_,293.86
_04104_,292.9
_02711_,292.36
_02848_,289.33
_03088_,280.65
net72,274.21
_02745_,271.39
net35,271.06
_03650_,267.025
net10,266.22
_02262_,264.74
rf\[29\]\[26\],263.34
net74,262.6
rf\[29\]\[28\],260.24
net68,257.01
rf\[29\]\[25\],256.77
net104,256.28
_02607_,255.68
clknet_1_1__leaf__04479_,252.32
_03616_,251.94
_02642_,251.77
net100,251.3
_03922_,251.24
_04305_,249.54
net97,247.86
clknet_1_0__leaf__04446_,244.58
_03670_,244.12
net75,238.5
