net,length_um
net131,720.09
_1967_,701.36
net50,698.81
net48,695.94
net49,687.89
net47,687.69
net43,687.52
net46,685.49
net42,682.45
net41,681.08
net44,678.1
net40,671.54
_2012_,636.11
net37,509.19
net39,508.66
_1840_,500.7
net153,488.39
net222,473.4
_1936_,457.25
net151,453.95
net144,445.035
net154,443.67
_0417_,437.005
net38,436.63
_1982_,428.93
_1927_,426.76
net150,424.81
net155,421.43
i_exec_stage.alu_out\[1\],417.895
_1198_,417.025
net200,415.44
_0424_,409.18
net156,403.51
clk_i,403.42
net145,400.63
_2179_,400.295
net211,400.04
net142,396.4
net157,395.58
_0411_,393.66
_2234_,392.95
i_exec_stage.alu_out\[0\],392.24
net158,383.59
_1839_,382.19
_0430_,381.48
net135,380.83
clknet_2_0__leaf_clk_i,377.86
net33,376.42
clknet_2_3__leaf_clk_i,373.14
net62,373.06
net60,372.945
net202,372.3
_0345_,371.09
net152,368.74
net140,364.79
net231,364.26
net133,361.77
net228,361.36
_0448_,360.215
net134,359.12
net57,355.84
clknet_0_clk_i,354.66
net136,352.8
net229,352.08
net227,350.1
net61,349.48
net206,349.16
_2042_,347.005
net64,346.54
net226,345.68
net230,344.66
_1924_,344.58
net225,343.88
_0495_,343.66
_0512_,343.47
net201,343.1
net143,341.29
net51,341.28
i_decode_stage.decode_state_o\[100\],340.46
_0507_,337.36
_0465_,335.02
_0343_,333.74
_1156_,332.72
_0413_,332.095
net59,331.6
net159,331.17
net209,330.9
net219,330.32
net132,328.97
_1930_,327.65
net216,324.44
_0707_,320.465
net215,319.4
_0496_,319.26
net160,318.39
_1129_,317.29
_0484_,317.21
net141,316.22
net218,315.74
_0464_,314.6
clknet_2_1__leaf_clk_i,314.4
_0453_,312.86
net138,312.135
_0709_,312.03
net221,311.84
_1937_,310.89
net205,310.7
_0626_,310.56
net161,310.54
_2333_,310.3
_0540_,309.78
_0608_,309.12
net66,307.96
net147,307.79
_0525_,307.61
net220,306.64
_0523_,306.25
net297,305.81
_0479_,305.21
net203,304.52
_2207_,303.81
_0663_,303.51
net36,303.22
net139,302.17
_0722_,302.08
_1838_,301.76
net35,300.68
net223,300.04
_0440_,299.24
net204,298.1
_0622_,297.315
net65,297.02
net137,295.67
net54,293.92
net63,290.18
net207,290.18
_0563_,289.74
_0590_,289.28
_0568_,288.2
i_decode_stage.decode_state_o\[0\],288
_0528_,287.3
net52,284.66
_0660_,283.15
_1158_,283.06
net213,281.51
net58,280.9
_1929_,279.22
net55,277.78
_0603_,274.67
_0551_,274.09
_1199_,273.9
_1928_,271.455
_0601_,268.57
net146,267.76
net291,266.64
net208,266.2
net217,265.3
net284,265.26
_0478_,263.5
net214,261.9
_0516_,260.1
_0617_,259.16
net282,258.2
