2023-05-06 03:32 | START  | sv_core    | matrix_config_0
2023-05-06 03:32 | START  | sv_core    | matrix_config_1
2023-05-06 03:41 | SUCCESS| sv_core    | 
2023-05-06 03:41 | DONE   | sv_core    | matrix_config_0: Writing report...
2023-05-06 03:41 | SUCCESS| sv_core    | 
2023-05-06 03:41 | DONE   | sv_core    | matrix_config_1: Writing report...
2023-05-06 03:42 | DONE   | sv_core    | Deleting run directory...
2023-05-06 03:42 | DONE   | sv_core    | Deleting run directory...
2023-05-06 03:42 | DONE   | sv_core    | Deleted run directory.
2023-05-06 03:42 | START  | sv_core    | matrix_config_2
2023-05-06 03:42 | DONE   | sv_core    | Deleted run directory.
2023-05-06 03:42 | START  | sv_core    | matrix_config_3
2023-05-06 03:51 | SUCCESS| sv_core    | 
2023-05-06 03:51 | DONE   | sv_core    | matrix_config_3: Writing report...
2023-05-06 03:51 | SUCCESS| sv_core    | 
2023-05-06 03:51 | DONE   | sv_core    | matrix_config_2: Writing report...
2023-05-06 03:51 | DONE   | sv_core    | Deleting run directory...
2023-05-06 03:51 | DONE   | sv_core    | Deleted run directory.
2023-05-06 03:51 | START  | sv_core    | matrix_config_4
2023-05-06 03:52 | DONE   | sv_core    | Deleting run directory...
2023-05-06 03:52 | DONE   | sv_core    | Deleted run directory.
2023-05-06 03:52 | START  | sv_core    | matrix_config_5
2023-05-06 04:01 | SUCCESS| sv_core    | 
2023-05-06 04:01 | DONE   | sv_core    | matrix_config_4: Writing report...
2023-05-06 04:01 | SUCCESS| sv_core    | 
2023-05-06 04:01 | DONE   | sv_core    | matrix_config_5: Writing report...
2023-05-06 04:01 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:01 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:01 | START  | sv_core    | matrix_config_6
2023-05-06 04:01 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:01 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:01 | START  | sv_core    | matrix_config_7
2023-05-06 04:10 | SUCCESS| sv_core    | 
2023-05-06 04:10 | DONE   | sv_core    | matrix_config_6: Writing report...
2023-05-06 04:11 | SUCCESS| sv_core    | 
2023-05-06 04:11 | DONE   | sv_core    | matrix_config_7: Writing report...
2023-05-06 04:11 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:11 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:11 | START  | sv_core    | matrix_config_8
2023-05-06 04:11 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:11 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:11 | START  | sv_core    | matrix_config_9
2023-05-06 04:20 | SUCCESS| sv_core    | 
2023-05-06 04:20 | DONE   | sv_core    | matrix_config_8: Writing report...
2023-05-06 04:20 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:20 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:20 | START  | sv_core    | matrix_config_10
2023-05-06 04:20 | SUCCESS| sv_core    | 
2023-05-06 04:20 | DONE   | sv_core    | matrix_config_9: Writing report...
2023-05-06 04:20 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:20 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:20 | START  | sv_core    | matrix_config_11
2023-05-06 04:30 | SUCCESS| sv_core    | 
2023-05-06 04:30 | DONE   | sv_core    | matrix_config_10: Writing report...
2023-05-06 04:30 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:30 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:30 | START  | sv_core    | matrix_config_12
2023-05-06 04:30 | SUCCESS| sv_core    | 
2023-05-06 04:30 | DONE   | sv_core    | matrix_config_11: Writing report...
2023-05-06 04:30 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:30 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:30 | START  | sv_core    | matrix_config_13
2023-05-06 04:39 | SUCCESS| sv_core    | 
2023-05-06 04:39 | DONE   | sv_core    | matrix_config_12: Writing report...
2023-05-06 04:39 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:39 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:39 | START  | sv_core    | matrix_config_14
2023-05-06 04:39 | SUCCESS| sv_core    | 
2023-05-06 04:39 | DONE   | sv_core    | matrix_config_13: Writing report...
2023-05-06 04:40 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:40 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:40 | START  | sv_core    | matrix_config_15
2023-05-06 04:49 | SUCCESS| sv_core    | 
2023-05-06 04:49 | DONE   | sv_core    | matrix_config_14: Writing report...
2023-05-06 04:49 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:49 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:49 | START  | sv_core    | matrix_config_16
2023-05-06 04:49 | SUCCESS| sv_core    | 
2023-05-06 04:49 | DONE   | sv_core    | matrix_config_15: Writing report...
2023-05-06 04:50 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:50 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:50 | START  | sv_core    | matrix_config_17
2023-05-06 04:59 | SUCCESS| sv_core    | 
2023-05-06 04:59 | DONE   | sv_core    | matrix_config_16: Writing report...
2023-05-06 04:59 | DONE   | sv_core    | Deleting run directory...
2023-05-06 04:59 | DONE   | sv_core    | Deleted run directory.
2023-05-06 04:59 | START  | sv_core    | matrix_config_18
2023-05-06 04:59 | SUCCESS| sv_core    | 
2023-05-06 04:59 | DONE   | sv_core    | matrix_config_17: Writing report...
2023-05-06 05:00 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:00 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:00 | START  | sv_core    | matrix_config_19
2023-05-06 05:09 | SUCCESS| sv_core    | 
2023-05-06 05:09 | DONE   | sv_core    | matrix_config_18: Writing report...
2023-05-06 05:09 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:09 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:09 | START  | sv_core    | matrix_config_20
2023-05-06 05:09 | SUCCESS| sv_core    | 
2023-05-06 05:09 | DONE   | sv_core    | matrix_config_19: Writing report...
2023-05-06 05:09 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:09 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:09 | START  | sv_core    | matrix_config_21
2023-05-06 05:18 | SUCCESS| sv_core    | 
2023-05-06 05:18 | DONE   | sv_core    | matrix_config_20: Writing report...
2023-05-06 05:19 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:19 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:19 | START  | sv_core    | matrix_config_22
2023-05-06 05:19 | SUCCESS| sv_core    | 
2023-05-06 05:19 | DONE   | sv_core    | matrix_config_21: Writing report...
2023-05-06 05:19 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:19 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:19 | START  | sv_core    | matrix_config_23
2023-05-06 05:28 | SUCCESS| sv_core    | 
2023-05-06 05:28 | DONE   | sv_core    | matrix_config_22: Writing report...
2023-05-06 05:29 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:29 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:29 | START  | sv_core    | matrix_config_24
2023-05-06 05:29 | SUCCESS| sv_core    | 
2023-05-06 05:29 | DONE   | sv_core    | matrix_config_23: Writing report...
2023-05-06 05:29 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:29 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:29 | START  | sv_core    | matrix_config_25
2023-05-06 05:38 | SUCCESS| sv_core    | 
2023-05-06 05:38 | DONE   | sv_core    | matrix_config_24: Writing report...
2023-05-06 05:39 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:39 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:39 | START  | sv_core    | matrix_config_26
2023-05-06 05:39 | SUCCESS| sv_core    | 
2023-05-06 05:39 | DONE   | sv_core    | matrix_config_25: Writing report...
2023-05-06 05:39 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:39 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:39 | START  | sv_core    | matrix_config_27
2023-05-06 05:48 | SUCCESS| sv_core    | 
2023-05-06 05:48 | DONE   | sv_core    | matrix_config_27: Writing report...
2023-05-06 05:48 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:48 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:48 | START  | sv_core    | matrix_config_28
2023-05-06 05:48 | SUCCESS| sv_core    | 
2023-05-06 05:48 | DONE   | sv_core    | matrix_config_26: Writing report...
2023-05-06 05:49 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:49 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:49 | START  | sv_core    | matrix_config_29
2023-05-06 05:57 | SUCCESS| sv_core    | 
2023-05-06 05:57 | DONE   | sv_core    | matrix_config_28: Writing report...
2023-05-06 05:57 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:57 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:57 | START  | sv_core    | matrix_config_30
2023-05-06 05:57 | SUCCESS| sv_core    | 
2023-05-06 05:57 | DONE   | sv_core    | matrix_config_29: Writing report...
2023-05-06 05:57 | DONE   | sv_core    | Deleting run directory...
2023-05-06 05:57 | DONE   | sv_core    | Deleted run directory.
2023-05-06 05:57 | START  | sv_core    | matrix_config_31
2023-05-06 06:06 | SUCCESS| sv_core    | 
2023-05-06 06:06 | DONE   | sv_core    | matrix_config_30: Writing report...
2023-05-06 06:06 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:06 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:06 | START  | sv_core    | matrix_config_32
2023-05-06 06:06 | SUCCESS| sv_core    | 
2023-05-06 06:06 | DONE   | sv_core    | matrix_config_31: Writing report...
2023-05-06 06:06 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:06 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:06 | START  | sv_core    | matrix_config_33
2023-05-06 06:15 | SUCCESS| sv_core    | 
2023-05-06 06:15 | DONE   | sv_core    | matrix_config_32: Writing report...
2023-05-06 06:15 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:15 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:15 | START  | sv_core    | matrix_config_34
2023-05-06 06:15 | SUCCESS| sv_core    | 
2023-05-06 06:15 | DONE   | sv_core    | matrix_config_33: Writing report...
2023-05-06 06:15 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:15 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:15 | START  | sv_core    | matrix_config_35
2023-05-06 06:24 | SUCCESS| sv_core    | 
2023-05-06 06:24 | DONE   | sv_core    | matrix_config_34: Writing report...
2023-05-06 06:24 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:24 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:24 | START  | sv_core    | matrix_config_36
2023-05-06 06:24 | SUCCESS| sv_core    | 
2023-05-06 06:24 | DONE   | sv_core    | matrix_config_35: Writing report...
2023-05-06 06:24 | DONE   | sv_core    | Deleting run directory...
2023-05-06 06:24 | DONE   | sv_core    | Deleted run directory.
2023-05-06 06:24 | START  | sv_core    | matrix_config_37
2023-05-06 06:33 | SUCCESS| sv_core    | 
